text,category
Large pothole on main road causing accidents,pothole
Deep crater on the highway near bus stop,pothole
Road has multiple potholes filled with water,pothole
Pothole near school gate is dangerous for children,pothole
Huge pit on the road damaged my vehicle,pothole
Road full of holes after rain season,pothole
Crater on NH highway causing traffic jams,pothole
Broken road with deep holes near hospital,pothole
Pothole has been there for 3 months unfixed,pothole
Two wheelers falling due to potholes on street,pothole
Road digging work left incomplete creating potholes,pothole
Water logging in pothole causing accidents at night,pothole
Road surface completely broken near market area,pothole
Severe road damage after pipeline repair work,pothole
Multiple craters on arterial road need urgent repair,pothole
Pothole swallowed my motorcycle wheel today,pothole
Giant hole in road near flyover entrance,pothole
Several potholes on inner ring road need fixing,pothole
Road crater near petrol pump causing traffic,pothole
Pothole filled with rainwater invisible at night,pothole
Old pothole repair failed new crater formed,pothole
Potholes on service road causing vehicle damage,pothole
Damaged road surface near metro station entrance,pothole
Road completely dug up for utility work not restored,pothole
Deep potholes on state highway near toll plaza,pothole
Manhole level higher than road creating pothole around it,pothole
Potholes causing accidents near school zone,pothole
Road surface eroded exposing gravel and stones,pothole
Pit on road covered with tarpaulin still dangerous,pothole
Pothole near water tank leaking water,pothole
Road near railway crossing full of holes,pothole
Crater formed after heavy truck movement on weak road,pothole
Pothole at intersection causing vehicles to swerve,pothole
Holes in road patched poorly breaking again,pothole
Road collapse near drainage work site,pothole
Multiple potholes on village road unrepaired for years,pothole
Road dug for gas pipeline not restored properly,pothole
Dangerous pit on pedestrian crossing area,pothole
Potholes on campus road damaging student vehicles,pothole
Colony road full of potholes after monsoon,pothole
Road broken at culvert causing accidents,pothole
BBMP road repair quality poor potholes returning,pothole
Pothole near apartment gate needs immediate filling,pothole
Road has large depression collecting rainwater,pothole
Potholes on arterial road slowing down traffic,pothole
Deep hole near electricity pole dangerous at night,pothole
Road between two wards in very bad condition potholes everywhere,pothole
Ambulance delayed due to pothole-ridden road,pothole
Tar road peeled off exposing dangerous surface,pothole
Pothole on bridge surface needs urgent attention,pothole
Street light not working near park for weeks,street_light
Entire street is dark at night due to broken lights,street_light
Street lamp post fallen on road blocking traffic,street_light
No lighting on the highway causing accidents,street_light
Flickering street light disturbing residents at night,street_light
LED street light fused and not replaced,street_light
Darkness on main road due to non-functional lights,street_light
Street lights burning during daytime wasting electricity,street_light
Women feel unsafe walking due to no street lights,street_light
Broken electric pole with hanging wires on street,street_light
Half the streetlights in our colony are dead,street_light
No lights installed on newly constructed road,street_light
Light poles installed but wiring not connected,street_light
Multiple lamp posts broken after recent storm,street_light
Street light bulbs need replacement in our area,street_light
Sodium lamp on main road not working since a month,street_light
Street light pole damaged by vehicle still not fixed,street_light
No street lights in newly developed layout,street_light
High mast light near stadium not functioning,street_light
Lamp post cable stolen lights not working,street_light
Street light timer malfunctioning lights on 24 hours,street_light
Pedestrian underpass has no lighting very dangerous,street_light
Solar street light battery dead not charging,street_light
Light near ATM not working robberies increasing,street_light
Park pathway lights all broken unsafe at night,street_light
Street lamp shade fallen on road from pole,street_light
Road near cemetery completely dark at night,street_light
New LED lights installed but half not working,street_light
Bus stop has no lighting passengers unsafe at night,street_light
Footpath light poles tilted after rain need fixing,street_light
Junction light out causing near miss accidents at night,street_light
Street lights go off at midnight leaving area dark,street_light
Light not working near school children unsafe in morning,street_light
Decorative lights on main road all broken,street_light
Roadside lamp post wires exposed electrical hazard,street_light
No illumination on flyover causing accidents at night,street_light
Light post uprooted by wind blocking footpath,street_light
Area near lake has no street lights antisocial elements,street_light
BESCOM light connection cut but poles still there,street_light
Street lights not working in entire ward for 10 days,street_light
High mast light near market not working for 2 months,street_light
Three consecutive lamp posts not functioning on highway,street_light
Lamp flickering causing discomfort to residents,street_light
Street light post knocked over by truck,street_light
No lights in industrial area workers walking in dark,street_light
Overhead light wire sagging low over road dangerous,street_light
Street light not working reported 3 times no action,street_light
Entire main road dark due to transformer failure,street_light
Children playing area has no lights after 6pm,street_light
Lamp post near manhole both need immediate repair,street_light
Garbage not collected from our area for 5 days,garbage
Overflowing dustbin near vegetable market,garbage
Waste dumped illegally on empty plot,garbage
Garbage burning in open area causing air pollution,garbage
Municipal workers not collecting door to door waste,garbage
Huge pile of garbage near residential colony,garbage
Trash accumulated on roadside for over a week,garbage
People dumping waste on footpath near school,garbage
No garbage collection vehicle visiting our street,garbage
Open garbage dump attracting stray animals,garbage
Waste pile near hospital creating hygiene hazard,garbage
Garbage bin overflowing onto road after holiday,garbage
Construction debris dumped on public footpath,garbage
Biomedical waste disposed in regular dustbin,garbage
Littering near lake area destroying environment,garbage
Garbage truck not coming to our layout since weeks,garbage
Waste scattered on road animals tearing garbage bags,garbage
Pourakarmikas not doing sweeping for several days,garbage
Bulk waste dumped near apartment complex entrance,garbage
Rotting garbage pile attracting flies and mosquitoes,garbage
Garbage collection timing changed residents unaware,garbage
Wet and dry waste not segregated by collection staff,garbage
Stinking garbage heap near primary school,garbage
Old furniture dumped on road blocking traffic,garbage
Plastic waste burning near children park,garbage
Dead animal carcass not removed from road for days,garbage
Garbage compactor vehicle not visiting our ward,garbage
Waste disposal area overflowing into residential zone,garbage
Household garbage bags left on road not collected,garbage
Scrap dealers dumping waste on public land,garbage
Compost pit not maintained foul smell in area,garbage
BBMP collection vehicle breaks down waste not cleared,garbage
E-waste dumped near transformer station illegally,garbage
Garbage mound near junction creating traffic hazard,garbage
Litter from roadside vendors not cleaned daily,garbage
Apartment complex waste not picked up for a week,garbage
Open dumping of hotel waste near residential area,garbage
Stray cattle rummaging through garbage on main road,garbage
Waste collection charges taken but no service provided,garbage
Garbage dumped in storm water drain blocking it,garbage
Festival waste not cleaned up by municipality,garbage
Uncollected waste causing rat infestation in colony,garbage
Pourakarmikas on strike waste piling up on streets,garbage
Contractor not collecting waste regularly in our zone,garbage
Night soil dumped illegally near water body,garbage
Dustbin capacity insufficient for market area waste,garbage
Mixed waste dumped in park causing environment damage,garbage
Garbage van horn not audible residents missing collection,garbage
Roadside eatery garbage not cleared daily,garbage
Bulk waste generator not following disposal rules,garbage
Water pipe burst on main road wasting thousands of litres,water_leak
Leaking water supply pipe flooding the street,water_leak
Underground water main has been leaking for days,water_leak
Water gushing out from broken municipal pipe,water_leak
Pipe leak near transformer creating electric hazard,water_leak
Continuous water wastage from damaged pipeline,water_leak
Borewell pipe broken water flowing on road,water_leak
Water seeping through road surface from broken main,water_leak
Supply pipe damaged during road construction,water_leak
Overhead tank overflowing wasting water daily,water_leak
Valve broken at junction causing major water loss,water_leak
Water meter pipeline cracked and leaking,water_leak
Leak near pump house flooding nearby houses,water_leak
No water supply due to pipe burst in area,water_leak
Old pipeline corroded and leaking constantly,water_leak
Water main rupture on arterial road since morning,water_leak
Drinking water pipeline leaking near footpath,water_leak
BWSSB pipe broken water wasted for 2 days,water_leak
Water connection pipe burst inside road,water_leak
Leak at water distribution junction near market,water_leak
Tap connection broken water flowing continuously,water_leak
Cauvery water supply pipe cracked on main road,water_leak
Water leaking from underground storage tank,water_leak
Broken water hydrant gushing on road,water_leak
Municipal water line leak causing road cave-in,water_leak
Pipe burst near school children wading through water,water_leak
Water supply line damaged by digging work,water_leak
Slow leak from distribution pipe going unnoticed,water_leak
Water connection illegal tap causing pressure loss,water_leak
Old AC pipe leaking water wasting daily,water_leak
Water line crack near electrical substation,water_leak
Pipe joint loose water oozing out constantly,water_leak
Supply main damaged trucks drove over it,water_leak
Water pressure high pipe burst in narrow lane,water_leak
Fluoride contamination suspected due to old pipe leak,water_leak
Roadside water pipeline broken due to tree root,water_leak
Water supply disrupted after major pipe burst,water_leak
Leaking water pipe making road slippery,water_leak
Water flooding footpath from broken supply line,water_leak
Pipe above culvert broken water falling into nala,water_leak
Water leakage reported but no repair team sent,water_leak
AC pipe broken water dripping from elevated bridge,water_leak
Water meter box broken water leaking outside,water_leak
House connection pipe burst waterlogging inside home,water_leak
Water supply pipe damaged during BESCOM work,water_leak
Pipeline near bus stop leaking for over a week,water_leak
Water loss from broken valve near pumping station,water_leak
Pipe broken under road surface water seeping up,water_leak
Water main leak causing sinkhole formation on road,water_leak
Drinking water pipeline contaminated due to crack,water_leak
Sewage overflowing onto road due to blocked drain,sewage
Open manhole in middle of road dangerous for pedestrians,sewage
Drainage system blocked causing sewage flooding,sewage
Foul smell from overflowing sewer near houses,sewage
Manhole cover missing creating risk of accidents,sewage
Drain blocked with garbage causing water stagnation,sewage
Sewage water entering houses after heavy rain,sewage
Stormwater drain completely choked with debris,sewage
Effluent from factory draining into residential area,sewage
STP not working sewage released untreated into lake,sewage
Nala overflow flooding road during monsoon,sewage
Septic tank overflow contaminating groundwater,sewage
Drainage pipe broken sewage on footpath,sewage
Underground sewer line collapsed road caved in,sewage
Blocked storm drain causing waterlogging after rain,sewage
Sewer line choked sewage backing up into homes,sewage
Open drain running through residential area uncovered,sewage
Manhole overflowing during rains sewage on road,sewage
Drainage channel blocked by construction debris,sewage
BWSSB sewer line broken sewage on main road,sewage
Sewer overflow near school children health at risk,sewage
Drain cover broken open hole near footpath,sewage
Nala encroached narrowed causing flooding,sewage
Sewage treatment plant overflow polluting lake,sewage
Drain not desilted for years causing overflow,sewage
Manhole lid stolen open pit near busy road,sewage
UGD line blocked sewage coming out of road,sewage
Sump overflow sewage water in compound,sewage
Drainage from slaughterhouse flowing on road,sewage
Storm water drain converted to sewage drain overflowing,sewage
Open manhole at night caused person to fall inside,sewage
Sewage mixing with drinking water supply serious issue,sewage
Drain overflow near hospital sanitation emergency,sewage
Blocked drain causing dengue breeding ground,sewage
Concrete drain broken sewage seeping into soil,sewage
Sewer gas smell from manhole toxic to residents,sewage
Drainage work incomplete waterlogging in low area,sewage
Sewage pipe above ground cracked spilling waste,sewage
Nala desilting needed urgently before monsoon,sewage
Sewage connection given but main line blocked,sewage
Blocked culvert causing flooding entire street,sewage
Drain gate not maintained flooding during rains,sewage
Sewage overflowing from broken manhole ring,sewage
Rainwater harvesting drain clogged needs cleaning,sewage
Sewer main collapsed on residential road,sewage
Illegal drain connection causing overflow,sewage
Gutter full of garbage sewage not flowing,sewage
Open drainage near playground health hazard,sewage
Sewage smell from broken underground pipe,sewage
Drain near market clogged with vegetable waste,sewage
Large tree fallen on road blocking traffic completely,tree_hazard
Dead tree about to fall on power lines,tree_hazard
Tree branches overhanging dangerously over road,tree_hazard
Uprooted tree blocking entire lane after storm,tree_hazard
Tree roots damaging footpath and road surface,tree_hazard
Dry tree in park at risk of falling on children,tree_hazard
Fallen tree crushing compound wall of school,tree_hazard
Overgrown tree blocking traffic signals visibility,tree_hazard
Tree leaning dangerously towards residential building,tree_hazard
Branch fell on parked car causing damage,tree_hazard
Tree uprooted blocking ambulance route to hospital,tree_hazard
Invasive tree roots blocking underground drainage,tree_hazard
Storm damaged tree hanging on electric wires,tree_hazard
Tree trimming required on busy highway for visibility,tree_hazard
Fallen tree on footpath making it inaccessible,tree_hazard
Huge branch hanging over road ready to fall,tree_hazard
Tree fell on BESCOM transformer causing power cut,tree_hazard
Rotting tree trunk in park dangerous for visitors,tree_hazard
Tree roots breaking footpath tiles pedestrians tripping,tree_hazard
Multiple trees uprooted after cyclone blocking roads,tree_hazard
Old rain tree leaning over busy junction,tree_hazard
Tree growing into electric pole wires sparking,tree_hazard
Diseased tree with hollow trunk near playground,tree_hazard
Branch fell injuring pedestrian on footpath,tree_hazard
Tree overhanging school building during storm season,tree_hazard
Fallen tree blocking railway level crossing,tree_hazard
Tree pruning needed before monsoon on main road,tree_hazard
Banyan tree roots uplifting road surface near temple,tree_hazard
Dried eucalyptus tree risk of falling on vehicles,tree_hazard
Tree branch on live electric wire fire risk,tree_hazard
Fallen tree crushed compound wall of house,tree_hazard
Tree in median strip grown very large blocking view,tree_hazard
Ant-infested tree trunk at park entrance collapsing,tree_hazard
Storm brought down three trees on colony road,tree_hazard
Overgrown branches obstructing CCTV camera view,tree_hazard
Tree fell on car during sudden storm last night,tree_hazard
Huge tree blocking solar panels on rooftop,tree_hazard
Tree roots cracking foundation wall of building,tree_hazard
Fallen tree blocking fire station exit,tree_hazard
Tree near high tension wire extremely dangerous,tree_hazard
Termite infested tree ready to collapse on road,tree_hazard
Tree branches touching bus route overhead wire,tree_hazard
Tree fallen on traffic signal post not removed,tree_hazard
Dead palm tree on road median needs removal,tree_hazard
Overgrown tree obstructing street name board,tree_hazard
Tree uprooted blocking canal road completely,tree_hazard
Low hanging branches scratching bus roof on route,tree_hazard
Tree fell on footpath nobody cleared it for days,tree_hazard
Coconut tree leaning on building wall dangerously,tree_hazard
Tree stump left on footpath tripping pedestrians,tree_hazard
Road surface completely worn out needs relaying,road_damage
Footpath tiles broken pedestrians walking on road,road_damage
Divider damaged on highway causing accidents,road_damage
Speed breaker broken and dangerous for vehicles,road_damage
Road marking faded creating confusion for drivers,road_damage
Retaining wall collapsed blocking half the road,road_damage
Bridge railing broken over culvert near village,road_damage
Road edge collapsed due to soil erosion,road_damage
Footpath encroached by vendors pedestrians at risk,road_damage
Median strip broken vehicles making illegal U-turns,road_damage
Road shoulder collapsed creating dangerous drop,road_damage
Pavement caved in near construction site,road_damage
Speed breaker not painted causing night accidents,road_damage
Road dividers missing on dangerous curve section,road_damage
Newly laid road already cracking within a month,road_damage
Footpath railing broken pedestrians falling on road,road_damage
Road barrier damaged vehicles going into wrong lane,road_damage
Broken kerb stones on footpath injuring pedestrians,road_damage
Road surface undulation causing vehicle damage,road_damage
Overhead bridge surface cracked structural concern,road_damage
Traffic island broken vehicles cutting through it,road_damage
Road near flyover pillar base eroding,road_damage
Cement road slab broken near junction,road_damage
Guard rail on curve missing accident waiting to happen,road_damage
Road subsidence near building construction site,road_damage
Footpath blocked by illegally parked vehicles,road_damage
Divider plants overgrown blocking road view,road_damage
Road caving in near storm drain slowly,road_damage
Pedestrian crossing zebra lines completely faded,road_damage
Road delineators missing on national highway curve,road_damage
Concrete slab on bridge cracked water seeping through,road_damage
Bus bay damaged buses stopping on main road,road_damage
Footpath gradient wrong causing water pooling,road_damage
Road hump painted poorly invisible to motorcyclists,road_damage
Pavement blocks on footpath loose and rocking,road_damage
Road edge erosion near river bank needs repair,road_damage
Concrete barrier on median broken exposed rebar,road_damage
Road surface bulging due to underground gas pressure,road_damage
Stop line marking on road completely worn away,road_damage
Footpath raised unevenly causing accidents,road_damage
Road near market dug up and not properly restored,road_damage
Steep road without speed bumps vehicles speeding,road_damage
Road divider plants dead making median look bad,road_damage
Cycle track on road broken and unusable,road_damage
Road shoulder graveled section causing dust,road_damage
Bridge approach road damaged heavy vehicles causing it,road_damage
Road edge metal guard rail rusted and broken,road_damage
Road repair done poorly patchwork already failing,road_damage
Pedestrian ramp on footpath broken wheelchair users affected,road_damage
Road marking for parking bay completely invisible,road_damage
Public toilet near bus stand locked and unusable,public_toilet
No water supply in public toilet for weeks,public_toilet
Public toilet extremely dirty and unhygienic,public_toilet
Toilet block near market has broken doors,public_toilet
No public toilet in our ward women suffering,public_toilet
Sulabh toilet not maintained foul smell everywhere,public_toilet
Community toilet lights not working unsafe at night,public_toilet
Open defecation happening due to no toilet facility,public_toilet
Toilet for differently abled persons not accessible,public_toilet
Pay and use toilet collecting money but not clean,public_toilet
Public urinal overflowing creating hygiene hazard,public_toilet
Toilet constructed but drainage not connected,public_toilet
No sanitation worker assigned to clean public toilet,public_toilet
Toilet facility near school demolished not rebuilt,public_toilet
Women toilet missing in public park,public_toilet
Community toilet taps broken no water available,public_toilet
Public toilet floor broken tiles cut feet,public_toilet
Toilet used by drug addicts at night unsafe,public_toilet
Mobile toilet van not visiting construction workers area,public_toilet
Sanitation worker not cleaning toilet daily,public_toilet
Public toilet door lock broken no privacy,public_toilet
Toilet near temple in very poor condition,public_toilet
No dustbin inside public toilet waste on floor,public_toilet
Public toilet roof leaking during rains unusable,public_toilet
Urinal blocks clogged public toilet unusable,public_toilet
Toilet near railway station always locked,public_toilet
Soap and sanitizer never provided in public toilet,public_toilet
Community toilet smells unbearable residents complaining,public_toilet
Toilet caretaker absent toilet in terrible state,public_toilet
Toilet near hospital emergency for patients,public_toilet
Public toilet mirror broken glass shards inside,public_toilet
Toilet for school children not cleaned by corporation,public_toilet
Automatic toilet not functioning for a month,public_toilet
Septic tank of public toilet full needs emptying,public_toilet
Toilet near crematorium not maintained,public_toilet
Ventilation in public toilet poor causing smell,public_toilet
Public toilet built but inauguration pending years,public_toilet
No toilet for daily wage workers at construction site nearby,public_toilet
Toilet near bus terminal vandalized by miscreants,public_toilet
Toilet seat broken in public facility,public_toilet
Public urinal stench affecting nearby shops,public_toilet
Community toilet water connection disconnected,public_toilet
Toilet near lake area in pathetic condition,public_toilet
Public restroom flooded due to blocked drain,public_toilet
No toilet paper or hand wash available,public_toilet
Toilet facility at night market completely dirty,public_toilet
Public toilet electrical wiring exposed dangerous,public_toilet
Toilet near garden locked after 6pm,public_toilet
Women toilet in public park broken lock,public_toilet
Toilet attendant demanding extra money from users,public_toilet
Loudspeaker blaring from temple all night disturbing sleep,noise_pollution
Construction work going on after 10pm violating norms,noise_pollution
DJ sound from wedding hall disturbing hospital patients,noise_pollution
Factory running machinery at night causing noise,noise_pollution
Bar and restaurant playing loud music past midnight,noise_pollution
Generator noise from commercial building all day,noise_pollution
Political rally using multiple loudspeakers without permission,noise_pollution
Honking vehicles near school during exam time,noise_pollution
Drilling work near hospital violating noise rules,noise_pollution
Crackers being burst late at night disturbing residents,noise_pollution
Grinding mill running at night in residential area,noise_pollution
Loud music from pub violating noise pollution norms,noise_pollution
Truck horns near school during examination hours,noise_pollution
Compressor noise from AC unit of hotel disturbing neighbors,noise_pollution
Event organizers using high decibel speakers near hospital,noise_pollution
Mosque loudspeaker at 4am disturbing residents sleep,noise_pollution
Club music audible till 3am in residential area,noise_pollution
Rock crusher plant operating near homes creating noise,noise_pollution
Train horn noise excessive near residential colony,noise_pollution
Firecrackers during wedding in residential area at 1am,noise_pollution
Diesel generator running outside residential flat noise,noise_pollution
Garbage collection vehicle horn at 5am waking residents,noise_pollution
Protest rally with loudspeakers outside hospital,noise_pollution
Road roller and paving machine working at midnight,noise_pollution
Amplified music from political office all day,noise_pollution
School near highway excessive traffic noise affecting studies,noise_pollution
Airport noise pollution increasing affecting nearby area,noise_pollution
Construction pile driving noise shaking nearby buildings,noise_pollution
Loud announcement system at market disturbing residents,noise_pollution
Mobile shop playing loud music attracting crowd noise,noise_pollution
Fireworks factory testing explosives disturbing area,noise_pollution
Pub installed outdoor speakers residential area affected,noise_pollution
Auto rickshaws honking continuously at traffic signal,noise_pollution
Function hall music audible kilometers away,noise_pollution
Hospital next to construction site patients affected,noise_pollution
Noise from textile weaving units in residential zone,noise_pollution
Music rehearsal studio noise disturbing neighbors,noise_pollution
Sand grinding unit near homes creating noise dust,noise_pollution
Political party office using speakers without permission,noise_pollution
Loud temple festival going on for 10 days,noise_pollution
Residential area near bus depot engine noise all night,noise_pollution
School exam disrupted by construction noise nearby,noise_pollution
Loud music from rooftop party in apartment building,noise_pollution
Noise from cold storage compressors running 24x7,noise_pollution
Marriage band playing at 2am disturbing entire locality,noise_pollution
Circus noise disturbing neighborhood for a week,noise_pollution
Retail shop with outdoor speakers till late night,noise_pollution
Noisy exhaust from modified bikes near residential area,noise_pollution
Garbage vehicle reversing beep sound at 4am,noise_pollution
Function at ground near hospital playing loud music,noise_pollution
Stray dogs attacking pedestrians near market,other
Illegal construction blocking public road,other
Encroachment on footpath by shops,other
No drinking water supply in our area for days,other
Electric wire hanging low over road dangerously,other
Mosquito breeding in stagnant water near colony,other
Public park in very poor condition no maintenance,other
Unauthorized parking blocking emergency vehicle access,other
Bus stop shelter broken passengers exposed to rain,other
Traffic signal not working causing accidents at junction,other
Waterlogging in low lying area after every rain,other
Graffiti and vandalism on public property walls,other
Stagnant water breeding mosquitoes causing dengue,other
Encroachment on lake bund destroying water body,other
Unauthorized billboard fallen on footpath,other
Stray cattle on highway causing traffic accidents,other
Illegal encroachment on government land near park,other
Traffic signal timer not working vehicles confused,other
Hawkers blocking footpath pedestrians walking on road,other
No bus service on our route since schedule change,other
Broken benches in public park need replacement,other
Electricity meter reading not done for months,other
Government land being encroached for construction,other
Stray dog menace in our colony biting children,other
Power cut every day for hours no reason given,other
Park equipment for children broken dangerous,other
Illegal vehicle parking on divider strip,other
Public water fountain in park not working,other
Garden lights in park all broken no maintenance,other
Cable TV wire hanging low over road,other
Pigeons menace at public building causing mess,other
Water supply tanker not coming regularly,other
Transformer humming loudly near residential building,other
Bus route diverted without information to public,other
Manhole location unmarked vehicles falling in,other
Illegal banner and hoarding on public property,other
No signboard at road junction causing confusion,other
Abandoned vehicle on road for weeks,other
Footpath occupied by auto stand passengers struggling,other
Tree plantation area converted to parking illegally,other
Old building wall cracked danger to pedestrians,other
CCTV camera in area not working for months,other
Public telephone booth vandalized not repaired,other
Fire hydrant blocked by unauthorized construction,other
Road divider plants dried up no watering done,other
Mosquito fogging not done in our ward this season,other
Unauthorized commercial activity in residential zone,other
No ramp for wheelchair access at government office,other
Street vendor blocking emergency vehicle access,other
Pirated cable running through public property,other
